frame,phase,x,z,stepDistance
519,LeavingSeat,5.016212,-5.485565,0.032000
520,LeavingSeat,5.020535,-5.517271,0.032000
521,LeavingSeat,5.024858,-5.548977,0.032000
522,LeavingSeat,5.029182,-5.580684,0.032000
523,LeavingSeat,5.033506,-5.612390,0.032000
524,LeavingSeat,5.037830,-5.644096,0.032000
525,LeavingSeat,5.042153,-5.675803,0.032000
526,LeavingSeat,5.046477,-5.707509,0.032000
527,LeavingSeat,5.050801,-5.739215,0.032000
528,LeavingSeat,5.055125,-5.770922,0.032000
529,LeavingSeat,5.059448,-5.802628,0.032000
530,LeavingSeat,5.063772,-5.834334,0.032000
531,LeavingSeat,5.068096,-5.866041,0.032000
532,LeavingSeat,5.072419,-5.897747,0.032000
533,LeavingSeat,5.076743,-5.929453,0.032000
534,LeavingSeat,5.081067,-5.961160,0.032000
535,LeavingSeat,5.085391,-5.992866,0.032000
536,LeavingSeat,5.089714,-6.024572,0.032000
537,LeavingSeat,5.094038,-6.056279,0.032000
538,LeavingSeat,5.098361,-6.087985,0.032000
539,Exiting,5.117874,-6.091312,0.019794
540,Exiting,5.146654,-6.077323,0.032000
541,Exiting,5.175434,-6.063334,0.032000
542,Exiting,5.204214,-6.049345,0.032000
543,Exiting,5.232995,-6.035356,0.032000
544,Exiting,5.223886,-6.030182,0.010475
545,Exiting,5.191887,-6.030335,0.032000
546,Exiting,5.159887,-6.030488,0.032000
547,Exiting,5.127888,-6.030641,0.032000
548,Exiting,5.095888,-6.030794,0.032000
549,Exiting,5.063889,-6.030947,0.032000
550,Exiting,5.031889,-6.031100,0.032000
551,Exiting,4.999889,-6.031253,0.032000
552,Exiting,4.967890,-6.031406,0.032000
553,Exiting,4.935890,-6.031559,0.032000
554,Exiting,4.903891,-6.031713,0.032000
555,Exiting,4.871891,-6.031866,0.032000
556,Exiting,4.839891,-6.032019,0.032000
557,Exiting,4.807892,-6.032172,0.032000
558,Exiting,4.775892,-6.032325,0.032000
559,Exiting,4.743893,-6.032478,0.032000
560,Exiting,4.711893,-6.032631,0.032000
561,Exiting,4.679893,-6.032784,0.032000
562,Exiting,4.647894,-6.032937,0.032000
563,Exiting,4.615894,-6.033090,0.032000
564,Exiting,4.583895,-6.033243,0.032000
565,Exiting,4.551895,-6.033396,0.032000
566,Exiting,4.519896,-6.033549,0.032000
567,Exiting,4.487896,-6.033702,0.032000
568,Exiting,4.455896,-6.033855,0.032000
569,Exiting,4.423897,-6.034009,0.032000
570,Exiting,4.391897,-6.034162,0.032000
571,Exiting,4.359898,-6.034315,0.032000
572,Exiting,4.327898,-6.034468,0.032000
573,Exiting,4.295898,-6.034621,0.032000
574,Exiting,4.263899,-6.034774,0.032000
575,Exiting,4.231899,-6.034927,0.032000
576,Exiting,4.199900,-6.035080,0.032000
577,Exiting,4.167900,-6.035233,0.032000
578,Exiting,4.135900,-6.035386,0.032000
579,Exiting,4.103901,-6.035539,0.032000
580,Exiting,4.071901,-6.035692,0.032000
581,Exiting,4.039902,-6.035845,0.032000
582,Exiting,4.007902,-6.035998,0.032000
583,Exiting,3.975903,-6.036151,0.032000
584,Exiting,3.943903,-6.036304,0.032000
585,Exiting,3.911903,-6.036458,0.032000
586,Exiting,3.879904,-6.036611,0.032000
587,Exiting,3.847904,-6.036764,0.032000
588,Exiting,3.815905,-6.036917,0.032000
589,Exiting,3.783905,-6.037070,0.032000
590,Exiting,3.751905,-6.037223,0.032000
591,Exiting,3.719906,-6.037376,0.032000
592,Exiting,3.687906,-6.037529,0.032000
593,Exiting,3.655907,-6.037682,0.032000
594,Exiting,3.623907,-6.037835,0.032000
